,Job Title,Company,Location,Salary
592,Software Quality Engineer,Scientific Games,"Chicago, IL","$69,000 - $103,000 a year (Indeed est.)"
594,Software Engineer,Popular Pays,"Chicago, IL 60661 (Near West Side area)","$87,000 - $131,000 a year (Indeed est.)"
596,Software Developer,"SMS Assist, LLC","Chicago, IL 60654 (Loop area)","$67,000 - $101,000 a year (Indeed est.)"
599,Software Engineer,Enfusion,"Chicago, IL 60610 (Near North Side area)","$93,000 - $140,000 a year (Indeed est.)"
600,Graphic Software Engineer,Connection,"Vernon Hills, IL 60061","$69,000 - $104,000 a year (Indeed est.)"
601,Software Engineer (frontend focused),dscout,"Chicago, IL 60601 (Loop area)","$102,000 - $153,000 a year (Indeed est.)"
602,Software Engineer-Fullstack,Capital One,"Rolling Meadows, IL 60008","$91,000 - $130,000 a year (Indeed est.)"
604,Data Engineer/Data Scientist,CMYSolutions,"Chicago, IL","$71,000 - $105,000 a year (Indeed est.)"
606,"SOFTWARE ENGINEER, APPS",Centro,"Chicago, IL 60654 (Loop area)","$87,000 - $130,000 a year (Indeed est.)"
607,Software Engineer,Moog Inc.,"Northbrook, IL","$78,000 - $118,000 a year (Indeed est.)"
608,"Software Engineer, Mobile (React)",Cisco Meraki,"Chicago, IL","$97,000 - $145,000 a year (Indeed est.)"
609,Backend Python Engineer,Numerator,"Chicago, IL","$80,000 - $120,000 a year (Indeed est.)"
610,Software Developer / Analyst,Real Estate Institute,"Chicago, IL 60614 (Lincoln Park area)","$75,000 - $113,000 a year (Indeed est.)"
612,Sr Software Dev Engineer,Redbox,"Oak Brook, IL","$87,000 - $117,000 a year (Indeed est.)"
613,"Program Analyst, Provider Reimbursement","Blue Cross Blue Shield of IL, MT, NM, OK & TX","Chicago, IL","$76,000 - $103,000 a year (Indeed est.)"
614,Software Developer,Friendly Consultants,"Chicago, IL","$67,000 - $100,000 a year (Indeed est.)"
615,Embedded Software Engineer,MP Consulting,"Palatine, IL","$76,000 - $114,000 a year (Indeed est.)"
616,Software Developer,Vuegen,"Hoffman Estates, IL 60169","$75,000 - $112,000 a year (Indeed est.)"
618,Java Developer,Parsoft LLC,"Chicago, IL",$40 - $60 an hour
620,Systems/Network Engineer,FitSeed Consulting Inc.,"Itasca, IL 60143","$65,000 - $75,000 a year"
624,Software Developer,Moody Bible Institute,"Chicago, IL 60469","$62,000 - $93,000 a year (Indeed est.)"
625,Java Software Engineer,SILA,"Chicago, IL","$97,000 - $140,000 a year (Indeed est.)"
626,Software Engineer - ServiceNow Application Development,Column Group,"Chicago, IL","$90,000 - $135,000 a year (Indeed est.)"
636,Java Full Stack Web Developer,Edge Systems LLC,"Hines, IL","$80,000 - $90,000 a year"
640,Junior Engineer,Midwest Processing,"Elk Grove Village, IL","$50,000 - $65,000 a year"
642,Java Developer,Insasys,"Chicago, IL","$85,000 - $105,000 a year"
649,Programmer/Analyst,High School District 214,"Arlington Heights, IL 60005","$78,527 - $94,232 a year"
664,Senior Software Developer,"Agility Network Services, Inc.","Chicago, IL","$90,000 a year"
743,Software Engineers - AT&T Flex Force,AT&T,"Chicago, IL","$85,000 - $128,000 a year (Indeed est.)"
744,Software Engineer in Test - (JavaScript Focus),Relativity,"Chicago, IL","$72,000 - $106,000 a year (Indeed est.)"
745,Suicide Prevention Program Manager,US Department of the Army,"Darien, IL","$68,897 - $89,572 a year"
747,Lead Software Engineer - Review,Relativity,"Chicago, IL","$96,000 - $144,000 a year (Indeed est.)"
749,Full-Stack Software Developer,Haivision,"Chicago, IL","$75,000 - $108,000 a year (Indeed est.)"
750,BI Engineer,3Q Digital,"Chicago, IL","$71,000 - $101,000 a year (Indeed est.)"
751,Full-Stack Software Developer,Haivision Systems Inc,"Chicago, IL","$79,000 - $113,000 a year (Indeed est.)"
755,Manager Software Engineer,Allstate,"Chicago, IL 60290 (Loop area)","$77,000 - $116,000 a year (Indeed est.)"
757,"Intern, Full Stack Developer",Hub Group,"Oak Brook, IL 60523","$53,000 - $76,000 a year (Indeed est.)"
760,Software Engineer - Java or C++,Options Clearing Corporation,"Chicago, IL","$93,000 - $139,000 a year (Indeed est.)"
763,Full Stack Engineer,Codal,"Chicago, IL 60611 (Near North Side area)","$76,000 - $109,000 a year (Indeed est.)"
767,Software Engineer - Java or C#/.Net,Motorola Solutions,"Chicago, IL","$99,000 - $148,000 a year (Indeed est.)"
771,Full Stack Engineer,RedShelf,"Chicago, IL 60654 (Loop area)","$92,000 - $132,000 a year (Indeed est.)"
774,Embedded Software Engineer- C++/RTOS,Verifone,"Chicago, IL","$96,000 - $144,000 a year (Indeed est.)"
775,Backend Engineer,ReviewTrackers,"Chicago, IL 60654 (Loop area)","$87,000 - $131,000 a year (Indeed est.)"
777,CNC Programmer,TalentBridge,"Gurnee, IL",$25 an hour
778,Front-End Engineer,Sprout Social,"Chicago, IL 60603 (Loop area)","$91,000 - $135,000 a year (Indeed est.)"
779,Software Engineers,Wizdom Systems,"Naperville, IL","$78,000 - $117,000 a year (Indeed est.)"
780,Insurance Company Financial Examiner Trainee,State of Illinois,"Cook County, IL","$3,498 - $5,063 a month"
783,Software Development Engineer in Test,Maven Wave Partners,"Chicago, IL","$85,000 - $125,000 a year (Indeed est.)"
784,Lead Software Engineer,Relativity,"Chicago, IL","$97,000 - $145,000 a year (Indeed est.)"
797,Software Developer,Adler University,"Chicago, IL","$78,000 - $116,000 a year (Indeed est.)"
802,Level II Software Support Engineer,First American Bank,"Elk Grove Village, IL 60007","$60,000 - $81,000 a year (Indeed est.)"
803,Account Executive,Copado,"Chicago, IL 60654 (Loop area)","$80,000 - $90,000 a year"
804,Full Stack Engineer,The Washington Post,"Chicago, IL 60616 (Douglas area)","$95,000 - $136,000 a year (Indeed est.)"
805,IT Software Quality Engineer,Alere,"Lake Forest, IL","$76,000 - $113,000 a year (Indeed est.)"
806,Data Scientist - Decision Science Optimization Team,Conversant Media,"Chicago, IL","$98,000 - $145,000 a year (Indeed est.)"
812,General Engineer/Physical Scientist,US Department of Energy,"Lemont, IL 60439","$68,897 - $107,357 a year"
813,Software Product Designer,NextCapital,"Chicago, IL","$71,000 - $106,000 a year (Indeed est.)"
816,Internship - Project Engineer Summer Intern- BD,IHC Construction Companies LLC,"Chicago, IL",$18 an hour
817,Lead Software Engineer (frontend focused),dscout,"Chicago, IL 60601 (Loop area)","$107,000 - $160,000 a year (Indeed est.)"
824,Senior Software Engineer,Siemens,"Hoffman Estates, IL 60169","$90,000 - $121,000 a year (Indeed est.)"
826,Artiva Software Developer,CareEnroll,"La Porte, IN 46350","$60,000 - $89,000 a year (Indeed est.)"
827,Software Developer,"Performance Trust Capital Partners, LLC","Chicago, IL 60661 (Near West Side area)","$81,000 - $121,000 a year (Indeed est.)"
828,UI Engineer,Acculynx,"Chicago, IL 60603 (Loop area)","$80,000 - $118,000 a year (Indeed est.)"
830,Software Engineer - Client-facing Technologies,Seed CX,"Chicago, IL 60661 (Near West Side area)","$99,000 - $148,000 a year (Indeed est.)"
832,Summer Tech Intern,UpRight Law,"Chicago, IL",$18 - $26 an hour (Indeed est.)
833,Java Microservices Developer,Essani International,"Chicago, IL",$50 - $65 an hour
834,Full Stack Developer,Yaro,"Chicago, IL","$98,000 - $140,000 a year (Indeed est.)"
835,Java Software Engineer,"Vail Systems, Inc.","Deerfield, IL 60015","$75,000 - $109,000 a year (Indeed est.)"
838,Project Engineer,Bulley & Andrews Concrete Restoration,"Chicago, IL","$58,000 - $82,000 a year (Indeed est.)"
839,Java Engineer,Nerdery,"Chicago, IL","$74,000 - $107,000 a year (Indeed est.)"
873,Mass Appraisal Specialist - Chief County Assessor's Office,Lake County IL,"Waukegan, IL","$51,121 - $58,923 a year"
899,Java Fullstack Software Engineer,JP Morgan Chase,"Chicago, IL 60603 (Loop area)","$108,000 - $155,000 a year (Indeed est.)"
