,Job Title,Company,Location,Salary
708,Software Engineers,Lak Software Solutions,"Princeton, NJ","$77,000 - $116,000 a year (Indeed est.)"
709,Enterprise System Java Software Engineer,BlackRock,"New York, NY 10055","$114,000 - $165,000 a year (Indeed est.)"
713,"Software Engineer, Enterprise Solutions",National Football League,"New York, NY 10154 (Midtown area)","$94,000 - $140,000 a year (Indeed est.)"
714,"Software Engineer II, Platform",Dataminr,"New York, NY","$124,000 - $166,000 a year (Indeed est.)"
715,Frontend Engineer,Soho Strategy,"Manhattan, NY","$87,000 - $128,000 a year (Indeed est.)"
716,2019 Summer Internship Program,Practising Law Institute,"New York, NY 10019 (Midtown area)",$16 an hour
717,"Software Engineer with AngularJS/Angular - $150,000",i4 Insurance Talent,"Stamford, CT","$130,000 - $150,000 a year"
718,Software Engineer - New York,XR Trading LLC,"New York, NY","$139,000 - $209,000 a year (Indeed est.)"
719,Front End Software Engineer: Insurance Engineering,"Two Sigma Investments, LLC.","New York, NY","$116,000 - $171,000 a year (Indeed est.)"
722,Kronos Software Engineer,Allscripts,"Melville, NY","$54,000 - $80,000 a year (Indeed est.)"
723,"Software Engineer, Infrastructure",Venmo,"New York, NY","$109,000 - $164,000 a year (Indeed est.)"
724,Software Engineer,National Computer Systems,"Piscataway, NJ 08854","$75,000 - $112,000 a year (Indeed est.)"
725,Software Engineer - Data Systems,Mailchimp,"Brooklyn, NY","$104,000 - $156,000 a year (Indeed est.)"
776,Software Support - Product Development - Business Services -...,Purposive Consulting,"Brooklyn, NY","$70,000 - $90,000 a year"
792,Software Sourcing Manager,New York City DEPT OF INFO TECH & TELECOMM,"Brooklyn, NY","$130,000 a year"
798,Quantitative Intern,DLD Asset Management,"New York, NY 10004 (Financial District area)",$500 a week
805,Senior Software Engineer,ECS Global Solutions,"New York, NY 10020 (Midtown area)","$75,000 - $125,000 a year"
815,Windows Server Engineer,Caltech IT Solution,"New York, NY",$60 - $75 an hour
817,Crypto Research Analyst,Panda Analytics,"New York, NY","$80,000 - $100,000 a year"
821,Senior Software Engineer,VCruiting,"New York, NY","$120,000 - $185,000 a year"
826,AS/400 or iSeries - ANALYST PROGRAMMER,IT People NY,"New York, NY","$50,000 - $85,000 a year"
839,.NET Developer (Seasonal - 18 months),NYC Campaign Finance,"New York, NY","$90,000 - $95,000 a year"
845,Full Stack Web Application Developer - React/Python - GPShop...,Synchrony,"New York, NY","$52,000 - $110,000 a year"
848,Software Architect,New York City TAXI & LIMOUSINE COMMISSION,"New York, NY 10004 (Financial District area)","$95,000 - $110,000 a year"
863,Data and Strategy Management Intern,New York City DEPT OF CITYWIDE ADMIN SVCS,"New York, NY",$16 - $19 an hour
873,Java Developer,SecBlock,"New York, NY 10001 (Chelsea area)","$120,000 - $150,000 a year"
890,Software Developer,Gig-Werks,"Yonkers, NY 10701","$90,000 - $100,000 a year"
