,Job_Title,Company,Location,Salary
800,Software Engineer – Frontend,Beyond Limits,"Glendale, CA",99000.0
801,Frontend Software Engineer - LA,E-Poll Market Research,"Los Angeles, CA",120000.0
808,"Project Coordinator, Large-Scale Change and Strategic Commun...",Community Solutions,"Los Angeles, CA 90013",65000.0
810,Network Assistant,JE Group of Companies,"Rancho Cucamonga, CA 91739",55000.0
814,Budget Aide (UC),City of Santa Ana,"Santa Ana, CA 92701",70944.0
817,Research Assistant,Phar LLC,"Beverly Hills, CA 90212",55000.0
818,Digital Project Manager (Agile/Scrum),Codazen,"Laguna Hills, CA 92653",94500.0
820,Client Success Specialist,Teknowlogi,"Costa Mesa, CA",70000.0
822,EMERGENCY MEDICAL SERVICES EDUCATOR 2322,"City of Los Angeles, CA","City of Los Angeles, CA",95233.0
823,Permit Technician,County of Orange,"Orange County, CA",61703.5
824,Cataloging Librarian I,The J. Paul Getty Trust,"Los Angeles, CA 90049",53776.5
